titulo,descricao,preco,imagem
"Venom","Jornalista Eddie Brock adquire poderes ao se fundir a um simbionte alienígena. Dotado de força sobre-humana e camuflagem, ele confronta uma megacorporação. No embate interno, Venom define o limite entre justiça e instinto predatório.",7.90,./src/imgs/m1.jpg
"Dunkirk","Milhares de soldados aliados estão encurralados na praia de Dunkirk, em 1940. Civis britânicos mobilizam embarcações para resgatar combatentes sob bombardeio. Tensão e coragem se misturam em uma retirada marcada pela luta pela vida.",8.50,./src/imgs/m2.jpg
"Batman vs Superman: A Origem da Justiça","Bruce Wayne vê o poder de Superman como ameaça à humanidade. Enquanto se preparam para o duelo, Lex Luthor manipula eventos nos bastidores. Quando heróis colidem, surgem questionamentos sobre justiça e vingança.",9.50,./src/imgs/m3.jpg
"John Wick: Um Novo Dia Para Matar (Capítulo 2)","John Wick é obrigado a cumprir um antigo juramento de sangue. Assassinos do mundo inteiro caçam sua cabeça enquanto ele luta pela liberdade. Em tiroteios e emboscadas, ele reafirma sua lenda no submundo do crime.",10.50,./src/imgs/m4.jpg
"Aquaman","Arthur Curry descobre sua herança como príncipe de Atlântida. Dividido entre dois mundos, precisa impedir uma guerra entre superfície e mar. Em busca de um tridente lendário, assume seu destino de rei e protetor dos mares.",8.90,./src/imgs/m5.jpg
"Pantera Negra: Wakanda Para Sempre","Com a morte de T’Challa, Wakanda enfrenta luto e ameaças internas. Novos líderes surgem para proteger o vibranium e honrar o legado real. Entre dor e esperança, Wakanda redefine seu futuro sem seu rei.",9.90,./src/imgs/m6.jpg
"Thor","O poderoso deus do trovão é expulso de Asgard por desafiar seu pai. Na Terra, aprende lições de humildade e se torna digno de seu martelo.",7.50,./src/imgs/m7.jpg
"Bumblebee","Em 1987, Bee se esconde na forma de um fusca amarelo na Terra. A jovem Charlie Watson o encontra e os dois formam uma forte amizade. Perseguidos por Decepticons, descobrem juntos o poder da confiança.",8.00,./src/imgs/m8.png
"Máquinas Mortais","Cidades móveis devoram outras cidades num futuro pós-apocalíptico. Tom Natsworthy e Hester Shaw tentam impedir segredos mortais de Londres. Coragem e sacrifício definem a luta pela sobrevivência urbana.",8.70,./src/imgs/m9.jpg
"Anjos da Noite: Guerras de Sangue","Selene, caçadora de vampiros, foge de ambos os clãs após revelações. Vampiros e lycans entram em guerra total, ameaçando a existência dos dois. Protegendo sua filha, ela enfrenta batalhas sangrentas por paz e redenção.",9.30,./src/imgs/m10.jpg
